Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,"1024;
1024;
",,35.03,60.84,0,2.06,0,0
empty_tensor,,,12.38,12.38,0,0,0,0
aclnnAdd,,,13.43,13.43,2.06,2.06,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.17,13.27,0,0,0,0
empty_tensor,,,6.1,6.1,0,0,0,0
triton_kernel_add,,,17.15,17.15,1.58,1.58,0,0
aten::add,"1024;
1024;
",,24.12,53.61,0,2.1,0,0
empty_tensor,,,10.89,10.89,0,0,0,0
aclnnAdd,,,18.6,18.6,2.1,2.1,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.63,15.49,0,0,0,0
empty_tensor,,,7.86,7.86,0,0,0,0
triton_kernel_add,,,15.54,15.54,1.74,1.74,0,0
aten::add,"1024;
1024;
",,24.19,48.08,0,2.06,0,0
empty_tensor,,,10.12,10.12,0,0,0,0
aclnnAdd,,,13.77,13.77,2.06,2.06,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.33,12.7,0,0,0,0
empty_tensor,,,6.37,6.37,0,0,0,0
triton_kernel_add,,,16.5,16.5,1.58,1.58,0,0
aten::add,"1024;
1024;
",,23.63,44.98,0,2.06,0,0
empty_tensor,,,10.58,10.58,0,0,0,0
aclnnAdd,,,10.77,10.77,2.06,2.06,0,0
aten::empty_like,"1024;
;
;
;
;
",,11.41,17.26,0,0,0,0
empty_tensor,,,5.85,5.85,0,0,0,0
triton_kernel_add,,,16.04,16.04,1.62,1.62,0,0
aten::add,"1024;
1024;
",,22.91,43.94,0,2.14,0,0
empty_tensor,,,10.22,10.22,0,0,0,0
aclnnAdd,,,10.81,10.81,2.14,2.14,0,0
aten::empty_like,"1024;
;
;
;
;
",,12.6,19.01,0,0,0,0
empty_tensor,,,6.41,6.41,0,0,0,0
triton_kernel_add,,,21.04,21.04,1.62,1.62,0,0
aten::add,"1024;
1024;
",,23.55,46.39,0,1.78,0,0
empty_tensor,,,10.62,10.62,0,0,0,0
aclnnAdd,,,12.22,12.22,1.78,1.78,0,0
aten::empty_like,"1024;
;
;
;
;
",,13.86,20.97,0,0,0,0
empty_tensor,,,7.11,7.11,0,0,0,0
triton_kernel_add,,,15.49,15.49,1.42,1.42,0,0
aten::add,"1024;
1024;
",,24.56,49.54,0,2.06,0,0
empty_tensor,,,10.38,10.38,0,0,0,0
aclnnAdd,,,14.6,14.6,2.06,2.06,0,0
aten::empty_like,"1024;
;
;
;
;
",,9.18,16.53,0,0,0,0
empty_tensor,,,7.35,7.35,0,0,0,0
triton_kernel_add,,,15.68,15.68,1.56,1.56,0,0
aten::add,"1024;
1024;
",,23.89,49.79,0,1.82,0,0
empty_tensor,,,10.27,10.27,0,0,0,0
aclnnAdd,,,15.63,15.63,1.82,1.82,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.77,12.89,0,0,0,0
empty_tensor,,,6.12,6.12,0,0,0,0
triton_kernel_add,,,17.41,17.41,1.42,1.42,0,0
aten::add,"1024;
1024;
",,23.25,50.09,0,1.68,0,0
empty_tensor,,,10.61,10.61,0,0,0,0
aclnnAdd,,,16.23,16.23,1.68,1.68,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.9,13.19,0,0,0,0
empty_tensor,,,6.29,6.29,0,0,0,0
triton_kernel_add,,,22.99,22.99,1.48,1.48,0,0
aten::add,"1024;
1024;
",,26.15,48.31,0,1.66,0,0
empty_tensor,,,10.45,10.45,0,0,0,0
aclnnAdd,,,11.71,11.71,1.66,1.66,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.93,13.78,0,0,0,0
empty_tensor,,,6.85,6.85,0,0,0,0
triton_kernel_add,,,16.79,16.79,1.44,1.44,0,0
aten::add,"1024;
1024;
",,23.31,46.38,0,1.7,0,0
empty_tensor,,,10.53,10.53,0,0,0,0
aclnnAdd,,,12.54,12.54,1.7,1.7,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.52,13.23,0,0,0,0
empty_tensor,,,6.71,6.71,0,0,0,0
triton_kernel_add,,,20.9,20.9,1.5,1.5,0,0
aten::add,"1024;
1024;
",,23.01,46.83,0,1.7,0,0
empty_tensor,,,10.39,10.39,0,0,0,0
aclnnAdd,,,13.43,13.43,1.7,1.7,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.31,13.63,0,0,0,0
empty_tensor,,,6.32,6.32,0,0,0,0
triton_kernel_add,,,20.58,20.58,1.38,1.38,0,0
aten::add,"1024;
1024;
",,23.81,45.9,0,1.64,0,0
empty_tensor,,,10.36,10.36,0,0,0,0
aclnnAdd,,,11.73,11.73,1.64,1.64,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.26,13.79,0,0,0,0
empty_tensor,,,6.53,6.53,0,0,0,0
triton_kernel_add,,,31.9,31.9,1.4,1.4,0,0
aten::add,"1024;
1024;
",,24.37,46.17,0,1.64,0,0
empty_tensor,,,10.32,10.32,0,0,0,0
aclnnAdd,,,11.48,11.48,1.64,1.64,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.24,18.32,0,0,0,0
empty_tensor,,,11.08,11.08,0,0,0,0
triton_kernel_add,,,16.95,16.95,1.5,1.5,0,0
aten::add,"1024;
1024;
",,24.71,47.98,0,1.72,0,0
empty_tensor,,,10.54,10.54,0,0,0,0
aclnnAdd,,,12.73,12.73,1.72,1.72,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.52,14.23,0,0,0,0
empty_tensor,,,6.71,6.71,0,0,0,0
triton_kernel_add,,,16.4,16.4,1.44,1.44,0,0
aten::add,"1024;
1024;
",,24.44,74.89,0,1.64,0,0
empty_tensor,,,39.3,39.3,0,0,0,0
aclnnAdd,,,11.15,11.15,1.64,1.64,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.68,12.61,0,0,0,0
empty_tensor,,,5.93,5.93,0,0,0,0
triton_kernel_add,,,15.66,15.66,1.44,1.44,0,0
aten::add,"1024;
1024;
",,23.86,45.87,0,1.66,0,0
empty_tensor,,,10.4,10.4,0,0,0,0
aclnnAdd,,,11.61,11.61,1.66,1.66,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.27,12.88,0,0,0,0
empty_tensor,,,6.61,6.61,0,0,0,0
triton_kernel_add,,,51.4,51.4,1.46,1.46,0,0
aten::add,"1024;
1024;
",,24.78,47.23,0,1.64,0,0
empty_tensor,,,10.11,10.11,0,0,0,0
aclnnAdd,,,12.34,12.34,1.64,1.64,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.67,13.02,0,0,0,0
empty_tensor,,,6.35,6.35,0,0,0,0
triton_kernel_add,,,41.02,41.02,1.46,1.46,0,0
aten::add,"1024;
1024;
",,25.77,48.27,0,1.72,0,0
empty_tensor,,,10.66,10.66,0,0,0,0
aclnnAdd,,,11.84,11.84,1.72,1.72,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.4,12.11,0,0,0,0
empty_tensor,,,5.71,5.71,0,0,0,0
triton_kernel_add,,,42.28,42.28,1.5,1.5,0,0
aten::add,"1024;
1024;
",,24.23,45.14,0,1.72,0,0
empty_tensor,,,10.37,10.37,0,0,0,0
aclnnAdd,,,10.54,10.54,1.72,1.72,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.53,34.57,0,0,0,0
empty_tensor,,,28.04,28.04,0,0,0,0
triton_kernel_add,,,21.31,21.31,1.44,1.44,0,0
aten::add,"1024;
1024;
",,24.6,45.41,0,1.66,0,0
empty_tensor,,,10.4,10.4,0,0,0,0
aclnnAdd,,,10.41,10.41,1.66,1.66,0,0
aten::empty_like,"1024;
;
;
;
;
",,33.77,41.47,0,0,0,0
empty_tensor,,,7.7,7.7,0,0,0,0
triton_kernel_add,,,16.0,16.0,1.48,1.48,0,0
aten::add,"1024;
1024;
",,23.67,45.34,0,1.68,0,0
empty_tensor,,,10.77,10.77,0,0,0,0
aclnnAdd,,,10.9,10.9,1.68,1.68,0,0
aten::empty_like,"1024;
;
;
;
;
",,31.51,39.35,0,0,0,0
empty_tensor,,,7.84,7.84,0,0,0,0
triton_kernel_add,,,15.53,15.53,1.48,1.48,0,0
aten::add,"1024;
1024;
",,24.83,67.55,0,1.7,0,0
empty_tensor,,,10.33,10.33,0,0,0,0
aclnnAdd,,,32.39,32.39,1.7,1.7,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.1,15.31,0,0,0,0
empty_tensor,,,8.21,8.21,0,0,0,0
triton_kernel_add,,,15.29,15.29,1.52,1.52,0,0
aten::add,"1024;
1024;
",,23.84,68.03,0,1.7,0,0
empty_tensor,,,32.6,32.6,0,0,0,0
aclnnAdd,,,11.59,11.59,1.7,1.7,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.48,14.07,0,0,0,0
empty_tensor,,,6.59,6.59,0,0,0,0
triton_kernel_add,,,21.92,21.92,1.54,1.54,0,0
aten::add,"1024;
1024;
",,23.93,45.75,0,1.76,0,0
empty_tensor,,,10.31,10.31,0,0,0,0
aclnnAdd,,,11.51,11.51,1.76,1.76,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.83,12.91,0,0,0,0
empty_tensor,,,6.08,6.08,0,0,0,0
triton_kernel_add,,,46.49,46.49,1.78,1.78,0,0
aten::add,"1024;
1024;
",,23.87,46.62,0,1.72,0,0
empty_tensor,,,12.26,12.26,0,0,0,0
aclnnAdd,,,10.49,10.49,1.72,1.72,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.11,12.37,0,0,0,0
empty_tensor,,,6.26,6.26,0,0,0,0
triton_kernel_add,,,47.17,47.17,1.4,1.4,0,0
aten::add,"1024;
1024;
",,23.75,45.87,0,1.64,0,0
empty_tensor,,,10.33,10.33,0,0,0,0
aclnnAdd,,,11.79,11.79,1.64,1.64,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.23,12.73,0,0,0,0
empty_tensor,,,6.5,6.5,0,0,0,0
triton_kernel_add,,,40.58,40.58,1.42,1.42,0,0
aten::add,"1024;
1024;
",,23.13,44.19,0,1.78,0,0
empty_tensor,,,10.15,10.15,0,0,0,0
aclnnAdd,,,10.91,10.91,1.78,1.78,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.58,38.22,0,0,0,0
empty_tensor,,,31.64,31.64,0,0,0,0
triton_kernel_add,,,23.82,23.82,1.44,1.44,0,0
aten::add,"1024;
1024;
",,24.71,47.66,0,1.64,0,0
empty_tensor,,,10.86,10.86,0,0,0,0
aclnnAdd,,,12.09,12.09,1.64,1.64,0,0
aten::empty_like,"1024;
;
;
;
;
",,29.58,38.13,0,0,0,0
empty_tensor,,,8.55,8.55,0,0,0,0
triton_kernel_add,,,15.44,15.44,1.44,1.44,0,0
aten::add,"1024;
1024;
",,25.11,47.76,0,1.66,0,0
empty_tensor,,,10.96,10.96,0,0,0,0
aclnnAdd,,,11.69,11.69,1.66,1.66,0,0
aten::empty_like,"1024;
;
;
;
;
",,30.7,38.46,0,0,0,0
empty_tensor,,,7.76,7.76,0,0,0,0
triton_kernel_add,,,15.28,15.28,1.46,1.46,0,0
