Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,"1024;
1024;
",,34.0,61.54,0,2.56,0,0
empty_tensor,,,14.15,14.15,0,0,0,0
aclnnAdd,,,13.39,13.39,2.56,2.56,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.56,14.39,0,0,0,0
empty_tensor,,,6.83,6.83,0,0,0,0
triton_kernel_add,,,17.32,17.32,2.4,2.4,0,0
aten::add,"1024;
1024;
",,26.6,50.81,0,2.6,0,0
empty_tensor,,,12.35,12.35,0,0,0,0
aclnnAdd,,,11.86,11.86,2.6,2.6,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.95,13.64,0,0,0,0
empty_tensor,,,6.69,6.69,0,0,0,0
triton_kernel_add,,,24.25,24.25,2.4,2.4,0,0
aten::add,"1024;
1024;
",,26.64,51.77,0,2.62,0,0
empty_tensor,,,12.22,12.22,0,0,0,0
aclnnAdd,,,12.91,12.91,2.62,2.62,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.75,14.76,0,0,0,0
empty_tensor,,,8.01,8.01,0,0,0,0
triton_kernel_add,,,16.96,16.96,2.3,2.3,0,0
aten::add,"1024;
1024;
",,25.55,48.82,0,2.52,0,0
empty_tensor,,,11.62,11.62,0,0,0,0
aclnnAdd,,,11.65,11.65,2.52,2.52,0,0
aten::empty_like,"1024;
;
;
;
;
",,10.3,17.05,0,0,0,0
empty_tensor,,,6.75,6.75,0,0,0,0
triton_kernel_add,,,17.44,17.44,2.32,2.32,0,0
aten::add,"1024;
1024;
",,26.34,50.89,0,2.46,0,0
empty_tensor,,,12.04,12.04,0,0,0,0
aclnnAdd,,,12.51,12.51,2.46,2.46,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.76,13.14,0,0,0,0
empty_tensor,,,6.38,6.38,0,0,0,0
triton_kernel_add,,,15.33,15.33,2.36,2.36,0,0
aten::add,"1024;
1024;
",,24.6,48.6,0,2.5,0,0
empty_tensor,,,11.98,11.98,0,0,0,0
aclnnAdd,,,12.02,12.02,2.5,2.5,0,0
aten::empty_like,"1024;
;
;
;
;
",,11.1,18.47,0,0,0,0
empty_tensor,,,7.37,7.37,0,0,0,0
triton_kernel_add,,,22.51,22.51,2.38,2.38,0,0
aten::add,"1024;
1024;
",,26.07,51.1,0,2.7,0,0
empty_tensor,,,11.98,11.98,0,0,0,0
aclnnAdd,,,13.05,13.05,2.7,2.7,0,0
aten::empty_like,"1024;
;
;
;
;
",,10.37,17.22,0,0,0,0
empty_tensor,,,6.85,6.85,0,0,0,0
triton_kernel_add,,,16.49,16.49,2.38,2.38,0,0
aten::add,"1024;
1024;
",,25.07,47.75,0,2.06,0,0
empty_tensor,,,11.41,11.41,0,0,0,0
aclnnAdd,,,11.27,11.27,2.06,2.06,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.83,12.65,0,0,0,0
empty_tensor,,,5.82,5.82,0,0,0,0
triton_kernel_add,,,17.63,17.63,2.3,2.3,0,0
aten::add,"1024;
1024;
",,24.22,48.71,0,1.98,0,0
empty_tensor,,,11.53,11.53,0,0,0,0
aclnnAdd,,,12.96,12.96,1.98,1.98,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.17,13.0,0,0,0,0
empty_tensor,,,6.83,6.83,0,0,0,0
triton_kernel_add,,,16.19,16.19,2.22,2.22,0,0
aten::add,"1024;
1024;
",,25.34,49.75,0,1.94,0,0
empty_tensor,,,12.37,12.37,0,0,0,0
aclnnAdd,,,12.04,12.04,1.94,1.94,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.13,12.78,0,0,0,0
empty_tensor,,,6.65,6.65,0,0,0,0
triton_kernel_add,,,30.36,30.36,2.18,2.18,0,0
aten::add,"1024;
1024;
",,25.9,50.52,0,2.04,0,0
empty_tensor,,,12.36,12.36,0,0,0,0
aclnnAdd,,,12.26,12.26,2.04,2.04,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.91,13.82,0,0,0,0
empty_tensor,,,6.91,6.91,0,0,0,0
triton_kernel_add,,,16.28,16.28,2.26,2.26,0,0
aten::add,"1024;
1024;
",,24.84,49.23,0,2.0,0,0
empty_tensor,,,11.66,11.66,0,0,0,0
aclnnAdd,,,12.73,12.73,2.0,2.0,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.42,13.86,0,0,0,0
empty_tensor,,,7.44,7.44,0,0,0,0
triton_kernel_add,,,16.32,16.32,2.18,2.18,0,0
aten::add,"1024;
1024;
",,24.73,47.99,0,2.0,0,0
empty_tensor,,,11.73,11.73,0,0,0,0
aclnnAdd,,,11.53,11.53,2.0,2.0,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.27,13.53,0,0,0,0
empty_tensor,,,7.26,7.26,0,0,0,0
triton_kernel_add,,,16.26,16.26,2.18,2.18,0,0
aten::add,"1024;
1024;
",,26.75,56.11,0,2.04,0,0
empty_tensor,,,12.37,12.37,0,0,0,0
aclnnAdd,,,16.99,16.99,2.04,2.04,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.24,14.6,0,0,0,0
empty_tensor,,,7.36,7.36,0,0,0,0
triton_kernel_add,,,16.63,16.63,2.24,2.24,0,0
aten::add,"1024;
1024;
",,26.64,50.45,0,2.08,0,0
empty_tensor,,,12.42,12.42,0,0,0,0
aclnnAdd,,,11.39,11.39,2.08,2.08,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.05,14.21,0,0,0,0
empty_tensor,,,7.16,7.16,0,0,0,0
triton_kernel_add,,,15.65,15.65,2.3,2.3,0,0
aten::add,"1024;
1024;
",,24.84,48.52,0,2.1,0,0
empty_tensor,,,11.38,11.38,0,0,0,0
aclnnAdd,,,12.3,12.3,2.1,2.1,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.44,13.61,0,0,0,0
empty_tensor,,,7.17,7.17,0,0,0,0
triton_kernel_add,,,15.82,15.82,2.32,2.32,0,0
aten::add,"1024;
1024;
",,25.07,48.72,0,2.04,0,0
empty_tensor,,,11.77,11.77,0,0,0,0
aclnnAdd,,,11.88,11.88,2.04,2.04,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.51,13.47,0,0,0,0
empty_tensor,,,6.96,6.96,0,0,0,0
triton_kernel_add,,,23.81,23.81,2.2,2.2,0,0
aten::add,"1024;
1024;
",,25.49,50.34,0,2.26,0,0
empty_tensor,,,12.38,12.38,0,0,0,0
aclnnAdd,,,12.47,12.47,2.26,2.26,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.9,14.23,0,0,0,0
empty_tensor,,,7.33,7.33,0,0,0,0
triton_kernel_add,,,16.06,16.06,2.2,2.2,0,0
aten::add,"1024;
1024;
",,26.31,51.35,0,2.06,0,0
empty_tensor,,,11.98,11.98,0,0,0,0
aclnnAdd,,,13.06,13.06,2.06,2.06,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.93,13.65,0,0,0,0
empty_tensor,,,6.72,6.72,0,0,0,0
triton_kernel_add,,,15.88,15.88,2.24,2.24,0,0
aten::add,"1024;
1024;
",,24.77,47.64,0,2.14,0,0
empty_tensor,,,12.06,12.06,0,0,0,0
aclnnAdd,,,10.81,10.81,2.14,2.14,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.45,13.34,0,0,0,0
empty_tensor,,,6.89,6.89,0,0,0,0
triton_kernel_add,,,16.32,16.32,2.22,2.22,0,0
aten::add,"1024;
1024;
",,24.93,48.73,0,2.14,0,0
empty_tensor,,,11.43,11.43,0,0,0,0
aclnnAdd,,,12.37,12.37,2.14,2.14,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.84,14.29,0,0,0,0
empty_tensor,,,7.45,7.45,0,0,0,0
triton_kernel_add,,,23.85,23.85,2.26,2.26,0,0
aten::add,"1024;
1024;
",,24.12,47.4,0,2.14,0,0
empty_tensor,,,11.77,11.77,0,0,0,0
aclnnAdd,,,11.51,11.51,2.14,2.14,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.12,14.39,0,0,0,0
empty_tensor,,,7.27,7.27,0,0,0,0
triton_kernel_add,,,16.77,16.77,2.3,2.3,0,0
aten::add,"1024;
1024;
",,25.44,49.21,0,2.02,0,0
empty_tensor,,,11.56,11.56,0,0,0,0
aclnnAdd,,,12.21,12.21,2.02,2.02,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.53,15.13,0,0,0,0
empty_tensor,,,7.6,7.6,0,0,0,0
triton_kernel_add,,,16.46,16.46,2.38,2.38,0,0
aten::add,"1024;
1024;
",,25.12,48.3,0,2.02,0,0
empty_tensor,,,11.37,11.37,0,0,0,0
aclnnAdd,,,11.81,11.81,2.02,2.02,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.83,14.7,0,0,0,0
empty_tensor,,,7.87,7.87,0,0,0,0
triton_kernel_add,,,15.96,15.96,2.24,2.24,0,0
aten::add,"1024;
1024;
",,24.37,47.09,0,2.0,0,0
empty_tensor,,,11.15,11.15,0,0,0,0
aclnnAdd,,,11.57,11.57,2.0,2.0,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.75,13.9,0,0,0,0
empty_tensor,,,7.15,7.15,0,0,0,0
triton_kernel_add,,,28.53,28.53,2.24,2.24,0,0
aten::add,"1024;
1024;
",,25.81,50.14,0,2.0,0,0
empty_tensor,,,12.24,12.24,0,0,0,0
aclnnAdd,,,12.09,12.09,2.0,2.0,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.83,13.96,0,0,0,0
empty_tensor,,,7.13,7.13,0,0,0,0
triton_kernel_add,,,16.47,16.47,2.28,2.28,0,0
aten::add,"1024;
1024;
",,24.98,48.36,0,2.0,0,0
empty_tensor,,,11.18,11.18,0,0,0,0
aclnnAdd,,,12.2,12.2,2.0,2.0,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.61,14.71,0,0,0,0
empty_tensor,,,8.1,8.1,0,0,0,0
triton_kernel_add,,,16.04,16.04,2.24,2.24,0,0
aten::add,"1024;
1024;
",,26.38,49.69,0,2.02,0,0
empty_tensor,,,11.6,11.6,0,0,0,0
aclnnAdd,,,11.71,11.71,2.02,2.02,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.64,14.08,0,0,0,0
empty_tensor,,,7.44,7.44,0,0,0,0
triton_kernel_add,,,16.16,16.16,2.3,2.3,0,0
aten::add,"1024;
1024;
",,25.01,53.91,0,1.94,0,0
