Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,"1024;
1024;
",,36.09,68.06,0,2.48,0,0
empty_tensor,,,19.27,19.27,0,0,0,0
aclnnAdd,,,12.7,12.7,2.48,2.48,0,0
aten::empty_like,"1024;
;
;
;
;
",,8.41,16.46,0,0,0,0
empty_tensor,,,8.05,8.05,0,0,0,0
triton_kernel_add,,,17.14,17.14,2.3,2.3,0,0
aten::add,"1024;
1024;
",,26.06,49.19,0,2.52,0,0
empty_tensor,,,12.09,12.09,0,0,0,0
aclnnAdd,,,11.04,11.04,2.52,2.52,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.97,13.62,0,0,0,0
empty_tensor,,,6.65,6.65,0,0,0,0
triton_kernel_add,,,28.47,28.47,2.52,2.52,0,0
aten::add,"1024;
1024;
",,25.94,47.78,0,2.52,0,0
empty_tensor,,,11.19,11.19,0,0,0,0
aclnnAdd,,,10.65,10.65,2.52,2.52,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.15,19.55,0,0,0,0
empty_tensor,,,12.4,12.4,0,0,0,0
triton_kernel_add,,,15.4,15.4,2.3,2.3,0,0
aten::add,"1024;
1024;
",,25.36,46.71,0,2.5,0,0
empty_tensor,,,11.41,11.41,0,0,0,0
aclnnAdd,,,9.94,9.94,2.5,2.5,0,0
aten::empty_like,"1024;
;
;
;
;
",,11.94,18.73,0,0,0,0
empty_tensor,,,6.79,6.79,0,0,0,0
triton_kernel_add,,,15.29,15.29,2.38,2.38,0,0
aten::add,"1024;
1024;
",,26.19,49.26,0,2.56,0,0
empty_tensor,,,11.36,11.36,0,0,0,0
aclnnAdd,,,11.71,11.71,2.56,2.56,0,0
aten::empty_like,"1024;
;
;
;
;
",,14.57,22.67,0,0,0,0
empty_tensor,,,8.1,8.1,0,0,0,0
triton_kernel_add,,,14.75,14.75,2.3,2.3,0,0
aten::add,"1024;
1024;
",,25.93,48.3,0,2.46,0,0
empty_tensor,,,11.28,11.28,0,0,0,0
aclnnAdd,,,11.09,11.09,2.46,2.46,0,0
aten::empty_like,"1024;
;
;
;
;
",,13.12,19.61,0,0,0,0
empty_tensor,,,6.49,6.49,0,0,0,0
triton_kernel_add,,,25.95,25.95,2.28,2.28,0,0
aten::add,"1024;
1024;
",,26.7,52.19,0,2.42,0,0
empty_tensor,,,11.87,11.87,0,0,0,0
aclnnAdd,,,13.62,13.62,2.42,2.42,0,0
aten::empty_like,"1024;
;
;
;
;
",,9.64,16.06,0,0,0,0
empty_tensor,,,6.42,6.42,0,0,0,0
triton_kernel_add,,,14.29,14.29,2.38,2.38,0,0
aten::add,"1024;
1024;
",,25.91,51.58,0,2.08,0,0
empty_tensor,,,11.86,11.86,0,0,0,0
aclnnAdd,,,13.81,13.81,2.08,2.08,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.99,14.71,0,0,0,0
empty_tensor,,,7.72,7.72,0,0,0,0
triton_kernel_add,,,15.15,15.15,2.24,2.24,0,0
aten::add,"1024;
1024;
",,24.86,53.3,0,2.12,0,0
empty_tensor,,,17.93,17.93,0,0,0,0
aclnnAdd,,,10.51,10.51,2.12,2.12,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.32,13.61,0,0,0,0
empty_tensor,,,6.29,6.29,0,0,0,0
triton_kernel_add,,,15.31,15.31,2.22,2.22,0,0
aten::add,"1024;
1024;
",,30.24,58.82,0,2.0,0,0
empty_tensor,,,11.72,11.72,0,0,0,0
aclnnAdd,,,16.86,16.86,2.0,2.0,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.0,14.33,0,0,0,0
empty_tensor,,,7.33,7.33,0,0,0,0
triton_kernel_add,,,14.22,14.22,2.22,2.22,0,0
aten::add,"1024;
1024;
",,26.65,49.67,0,2.02,0,0
empty_tensor,,,12.0,12.0,0,0,0,0
aclnnAdd,,,11.02,11.02,2.02,2.02,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.78,13.22,0,0,0,0
empty_tensor,,,6.44,6.44,0,0,0,0
triton_kernel_add,,,17.81,17.81,2.26,2.26,0,0
aten::add,"1024;
1024;
",,24.99,46.46,0,2.08,0,0
empty_tensor,,,11.46,11.46,0,0,0,0
aclnnAdd,,,10.01,10.01,2.08,2.08,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.39,12.4,0,0,0,0
empty_tensor,,,6.01,6.01,0,0,0,0
triton_kernel_add,,,19.7,19.7,2.3,2.3,0,0
aten::add,"1024;
1024;
",,25.18,46.86,0,2.22,0,0
empty_tensor,,,11.3,11.3,0,0,0,0
aclnnAdd,,,10.38,10.38,2.22,2.22,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.27,12.6,0,0,0,0
empty_tensor,,,6.33,6.33,0,0,0,0
triton_kernel_add,,,21.15,21.15,2.2,2.2,0,0
aten::add,"1024;
1024;
",,24.84,47.0,0,2.06,0,0
empty_tensor,,,11.5,11.5,0,0,0,0
aclnnAdd,,,10.66,10.66,2.06,2.06,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.57,18.6,0,0,0,0
empty_tensor,,,12.03,12.03,0,0,0,0
triton_kernel_add,,,14.76,14.76,2.26,2.26,0,0
aten::add,"1024;
1024;
",,25.53,47.69,0,2.2,0,0
empty_tensor,,,11.24,11.24,0,0,0,0
aclnnAdd,,,10.92,10.92,2.2,2.2,0,0
aten::empty_like,"1024;
;
;
;
;
",,10.75,18.64,0,0,0,0
empty_tensor,,,7.89,7.89,0,0,0,0
triton_kernel_add,,,14.93,14.93,2.24,2.24,0,0
aten::add,"1024;
1024;
",,25.58,48.3,0,2.08,0,0
empty_tensor,,,11.83,11.83,0,0,0,0
aclnnAdd,,,10.89,10.89,2.08,2.08,0,0
aten::empty_like,"1024;
;
;
;
;
",,10.12,16.85,0,0,0,0
empty_tensor,,,6.73,6.73,0,0,0,0
triton_kernel_add,,,14.85,14.85,2.28,2.28,0,0
aten::add,"1024;
1024;
",,24.51,49.38,0,2.08,0,0
empty_tensor,,,11.4,11.4,0,0,0,0
aclnnAdd,,,13.47,13.47,2.08,2.08,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.11,14.16,0,0,0,0
