Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,"1024;
1024;
",,33.52,58.96,0,2.0,0,0
empty_tensor,,,12.59,12.59,0,0,0,0
aclnnAdd,,,12.85,12.85,2.0,2.0,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.69,13.86,0,0,0,0
empty_tensor,,,6.17,6.17,0,0,0,0
triton_kernel_add,,,24.05,24.05,1.58,1.58,0,0
aten::add,"1024;
1024;
",,24.06,49.31,0,2.2,0,0
empty_tensor,,,11.25,11.25,0,0,0,0
aclnnAdd,,,14.0,14.0,2.2,2.2,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.93,13.75,0,0,0,0
empty_tensor,,,6.82,6.82,0,0,0,0
triton_kernel_add,,,17.97,17.97,1.62,1.62,0,0
aten::add,"1024;
1024;
",,25.01,49.85,0,2.02,0,0
empty_tensor,,,11.33,11.33,0,0,0,0
aclnnAdd,,,13.51,13.51,2.02,2.02,0,0
aten::empty_like,"1024;
;
;
;
;
",,12.58,19.21,0,0,0,0
empty_tensor,,,6.63,6.63,0,0,0,0
triton_kernel_add,,,18.39,18.39,1.46,1.46,0,0
aten::add,"1024;
1024;
",,24.1,48.69,0,2.0,0,0
empty_tensor,,,11.25,11.25,0,0,0,0
aclnnAdd,,,13.34,13.34,2.0,2.0,0,0
aten::empty_like,"1024;
;
;
;
;
",,12.25,19.23,0,0,0,0
empty_tensor,,,6.98,6.98,0,0,0,0
triton_kernel_add,,,18.87,18.87,1.4,1.4,0,0
aten::add,"1024;
1024;
",,24.0,50.03,0,1.9,0,0
empty_tensor,,,12.01,12.01,0,0,0,0
aclnnAdd,,,14.02,14.02,1.9,1.9,0,0
aten::empty_like,"1024;
;
;
;
;
",,8.04,14.81,0,0,0,0
empty_tensor,,,6.77,6.77,0,0,0,0
triton_kernel_add,,,38.42,38.42,1.42,1.42,0,0
aten::add,"1024;
1024;
",,70.12,117.51,0,1.62,0,0
empty_tensor,,,31.63,31.63,0,0,0,0
aclnnAdd,,,15.76,15.76,1.62,1.62,0,0
aten::empty_like,"1024;
;
;
;
;
",,14.5,23.73,0,0,0,0
empty_tensor,,,9.23,9.23,0,0,0,0
triton_kernel_add,,,17.49,17.49,1.38,1.38,0,0
aten::add,"1024;
1024;
",,30.25,53.95,0,1.94,0,0
empty_tensor,,,11.36,11.36,0,0,0,0
aclnnAdd,,,12.34,12.34,1.94,1.94,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.13,13.87,0,0,0,0
empty_tensor,,,6.74,6.74,0,0,0,0
triton_kernel_add,,,17.99,17.99,1.48,1.48,0,0
aten::add,"1024;
1024;
",,25.26,49.38,0,1.68,0,0
empty_tensor,,,11.58,11.58,0,0,0,0
aclnnAdd,,,12.54,12.54,1.68,1.68,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.83,12.69,0,0,0,0
empty_tensor,,,5.86,5.86,0,0,0,0
triton_kernel_add,,,16.81,16.81,1.44,1.44,0,0
aten::add,"1024;
1024;
",,24.92,51.86,0,1.54,0,0
empty_tensor,,,11.23,11.23,0,0,0,0
aclnnAdd,,,15.71,15.71,1.54,1.54,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.69,13.69,0,0,0,0
empty_tensor,,,6.0,6.0,0,0,0,0
triton_kernel_add,,,17.02,17.02,1.34,1.34,0,0
aten::add,"1024;
1024;
",,25.23,49.48,0,1.52,0,0
empty_tensor,,,10.87,10.87,0,0,0,0
aclnnAdd,,,13.38,13.38,1.52,1.52,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.39,12.09,0,0,0,0
empty_tensor,,,5.7,5.7,0,0,0,0
triton_kernel_add,,,16.52,16.52,1.34,1.34,0,0
aten::add,"1024;
1024;
",,25.52,49.57,0,1.62,0,0
empty_tensor,,,10.89,10.89,0,0,0,0
aclnnAdd,,,13.16,13.16,1.62,1.62,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.61,12.79,0,0,0,0
empty_tensor,,,6.18,6.18,0,0,0,0
triton_kernel_add,,,16.57,16.57,1.54,1.54,0,0
aten::add,"1024;
1024;
",,25.7,49.59,0,1.56,0,0
empty_tensor,,,11.12,11.12,0,0,0,0
aclnnAdd,,,12.77,12.77,1.56,1.56,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.15,14.59,0,0,0,0
empty_tensor,,,7.44,7.44,0,0,0,0
triton_kernel_add,,,20.85,20.85,1.36,1.36,0,0
aten::add,"1024;
1024;
",,25.32,49.15,0,1.58,0,0
empty_tensor,,,11.17,11.17,0,0,0,0
aclnnAdd,,,12.66,12.66,1.58,1.58,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.46,12.52,0,0,0,0
empty_tensor,,,6.06,6.06,0,0,0,0
triton_kernel_add,,,16.75,16.75,1.38,1.38,0,0
aten::add,"1024;
1024;
",,25.05,49.07,0,1.6,0,0
empty_tensor,,,11.05,11.05,0,0,0,0
aclnnAdd,,,12.97,12.97,1.6,1.6,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.85,13.37,0,0,0,0
empty_tensor,,,6.52,6.52,0,0,0,0
triton_kernel_add,,,15.77,15.77,1.4,1.4,0,0
aten::add,"1024;
1024;
",,47.86,98.82,0,1.62,0,0
empty_tensor,,,34.2,34.2,0,0,0,0
aclnnAdd,,,16.76,16.76,1.62,1.62,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.43,13.51,0,0,0,0
empty_tensor,,,6.08,6.08,0,0,0,0
triton_kernel_add,,,17.47,17.47,1.46,1.46,0,0
aten::add,"1024;
1024;
",,25.53,49.94,0,1.66,0,0
empty_tensor,,,11.96,11.96,0,0,0,0
aclnnAdd,,,12.45,12.45,1.66,1.66,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.02,13.28,0,0,0,0
empty_tensor,,,6.26,6.26,0,0,0,0
triton_kernel_add,,,21.53,21.53,1.48,1.48,0,0
aten::add,"1024;
1024;
",,26.24,50.67,0,1.66,0,0
empty_tensor,,,11.48,11.48,0,0,0,0
aclnnAdd,,,12.95,12.95,1.66,1.66,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.64,12.86,0,0,0,0
empty_tensor,,,6.22,6.22,0,0,0,0
triton_kernel_add,,,17.16,17.16,1.4,1.4,0,0
aten::add,"1024;
1024;
",,24.56,47.94,0,1.62,0,0
empty_tensor,,,10.58,10.58,0,0,0,0
aclnnAdd,,,12.8,12.8,1.62,1.62,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.6,12.41,0,0,0,0
empty_tensor,,,5.81,5.81,0,0,0,0
triton_kernel_add,,,16.7,16.7,1.38,1.38,0,0
aten::add,"1024;
1024;
",,26.64,50.74,0,1.64,0,0
empty_tensor,,,11.92,11.92,0,0,0,0
aclnnAdd,,,12.18,12.18,1.64,1.64,0,0
