Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,"1024;
1024;
",,35.4,63.65,0,2.24,0,0
empty_tensor,,,13.48,13.48,0,0,0,0
aclnnAdd,,,14.77,14.77,2.24,2.24,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.89,15.09,0,0,0,0
empty_tensor,,,7.2,7.2,0,0,0,0
triton_kernel_add,,,30.11,30.11,1.616,1.616,0,0
aten::add,"1024;
1024;
",,27.12,56.46,0,2.16,0,0
empty_tensor,,,12.46,12.46,0,0,0,0
aclnnAdd,,,16.88,16.88,2.16,2.16,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.86,14.37,0,0,0,0
empty_tensor,,,6.51,6.51,0,0,0,0
triton_kernel_add,,,19.27,19.27,1.616,1.616,0,0
aten::add,"1024;
1024;
",,27.1,52.07,0,2.32,0,0
empty_tensor,,,10.64,10.64,0,0,0,0
aclnnAdd,,,14.33,14.33,2.32,2.32,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.09,13.28,0,0,0,0
empty_tensor,,,6.19,6.19,0,0,0,0
triton_kernel_add,,,18.22,18.22,1.68,1.68,0,0
aten::add,"1024;
1024;
",,25.88,50.22,0,2.144,0,0
empty_tensor,,,11.48,11.48,0,0,0,0
aclnnAdd,,,12.86,12.86,2.144,2.144,0,0
aten::empty_like,"1024;
;
;
;
;
",,12.6,18.87,0,0,0,0
empty_tensor,,,6.27,6.27,0,0,0,0
triton_kernel_add,,,16.61,16.61,1.56,1.56,0,0
aten::add,"1024;
1024;
",,25.21,49.98,0,2.08,0,0
empty_tensor,,,11.43,11.43,0,0,0,0
aclnnAdd,,,13.34,13.34,2.08,2.08,0,0
aten::empty_like,"1024;
;
;
;
;
",,11.66,18.75,0,0,0,0
empty_tensor,,,7.09,7.09,0,0,0,0
triton_kernel_add,,,24.29,24.29,1.576,1.576,0,0
aten::add,"1024;
1024;
",,25.0,49.02,0,1.736,0,0
empty_tensor,,,10.52,10.52,0,0,0,0
aclnnAdd,,,13.5,13.5,1.736,1.736,0,0
aten::empty_like,"1024;
;
;
;
;
",,11.89,22.33,0,0,0,0
empty_tensor,,,10.44,10.44,0,0,0,0
triton_kernel_add,,,18.18,18.18,1.584,1.584,0,0
aten::add,"1024;
1024;
",,25.15,48.07,0,2.36,0,0
empty_tensor,,,10.86,10.86,0,0,0,0
aclnnAdd,,,12.06,12.06,2.36,2.36,0,0
aten::empty_like,"1024;
;
;
;
;
",,13.33,20.3,0,0,0,0
empty_tensor,,,6.97,6.97,0,0,0,0
triton_kernel_add,,,15.92,15.92,1.6,1.6,0,0
aten::add,"1024;
1024;
",,26.56,49.93,0,1.696,0,0
empty_tensor,,,10.82,10.82,0,0,0,0
aclnnAdd,,,12.55,12.55,1.696,1.696,0,0
aten::empty_like,"1024;
;
;
;
;
",,10.92,17.73,0,0,0,0
empty_tensor,,,6.81,6.81,0,0,0,0
triton_kernel_add,,,16.87,16.87,1.52,1.52,0,0
aten::add,"1024;
1024;
",,25.87,53.2,0,1.744,0,0
empty_tensor,,,11.77,11.77,0,0,0,0
aclnnAdd,,,15.56,15.56,1.744,1.744,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.57,14.25,0,0,0,0
