Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,"1024;
1024;
",,34.81,59.56,0,2.816,0,0
empty_tensor,,,12.4,12.4,0,0,0,0
aclnnAdd,,,12.35,12.35,2.816,2.816,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.44,14.04,0,0,0,0
empty_tensor,,,6.6,6.6,0,0,0,0
triton_kernel_add,,,15.61,15.61,1.6,1.6,0,0
aten::add,"1024;
1024;
",,24.49,52.13,0,2.24,0,0
empty_tensor,,,11.28,11.28,0,0,0,0
aclnnAdd,,,16.36,16.36,2.24,2.24,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.61,14.6,0,0,0,0
empty_tensor,,,6.99,6.99,0,0,0,0
triton_kernel_add,,,15.57,15.57,1.544,1.544,0,0
aten::add,"1024;
1024;
",,24.78,47.98,0,2.2,0,0
empty_tensor,,,10.79,10.79,0,0,0,0
aclnnAdd,,,12.41,12.41,2.2,2.2,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.91,13.56,0,0,0,0
empty_tensor,,,6.65,6.65,0,0,0,0
triton_kernel_add,,,15.63,15.63,1.6,1.6,0,0
aten::add,"1024;
1024;
",,23.36,44.51,0,2.16,0,0
empty_tensor,,,10.79,10.79,0,0,0,0
aclnnAdd,,,10.36,10.36,2.16,2.16,0,0
aten::empty_like,"1024;
;
;
;
;
",,14.89,21.65,0,0,0,0
empty_tensor,,,6.76,6.76,0,0,0,0
triton_kernel_add,,,15.87,15.87,1.6,1.6,0,0
aten::add,"1024;
1024;
",,24.41,47.53,0,2.224,0,0
empty_tensor,,,10.46,10.46,0,0,0,0
aclnnAdd,,,12.66,12.66,2.224,2.224,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.71,19.03,0,0,0,0
empty_tensor,,,12.32,12.32,0,0,0,0
triton_kernel_add,,,23.41,23.41,1.656,1.656,0,0
aten::add,"1024;
1024;
",,23.73,46.2,0,1.736,0,0
empty_tensor,,,10.88,10.88,0,0,0,0
aclnnAdd,,,11.59,11.59,1.736,1.736,0,0
aten::empty_like,"1024;
;
;
;
;
",,18.71,25.31,0,0,0,0
empty_tensor,,,6.6,6.6,0,0,0,0
triton_kernel_add,,,15.12,15.12,1.56,1.56,0,0
aten::add,"1024;
1024;
",,23.16,44.53,0,2.28,0,0
empty_tensor,,,10.06,10.06,0,0,0,0
aclnnAdd,,,11.31,11.31,2.28,2.28,0,0
aten::empty_like,"1024;
;
;
;
;
",,18.51,24.86,0,0,0,0
empty_tensor,,,6.35,6.35,0,0,0,0
triton_kernel_add,,,15.5,15.5,1.584,1.584,0,0
aten::add,"1024;
1024;
",,23.22,50.8,0,1.68,0,0
empty_tensor,,,10.16,10.16,0,0,0,0
aclnnAdd,,,17.42,17.42,1.68,1.68,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.45,13.64,0,0,0,0
empty_tensor,,,6.19,6.19,0,0,0,0
triton_kernel_add,,,16.8,16.8,1.496,1.496,0,0
aten::add,"1024;
1024;
",,24.01,49.25,0,1.68,0,0
empty_tensor,,,10.24,10.24,0,0,0,0
aclnnAdd,,,15.0,15.0,1.68,1.68,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.13,13.76,0,0,0,0
empty_tensor,,,6.63,6.63,0,0,0,0
