Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,"1024;
1024;
",,50.28,77.58,0,4.224,0,0
empty_tensor,,,13.82,13.82,0,0,0,0
aclnnAdd,,,13.48,13.48,4.224,4.224,0,0
aten::empty_like,"1024;
;
;
;
;
",,11.15,19.16,0,0,0,0
empty_tensor,,,8.01,8.01,0,0,0,0
triton_kernel_add,,,18.44,18.44,1.76,1.76,0,0
aten::add,"1024;
1024;
",,25.76,49.44,0,4.016,0,0
empty_tensor,,,11.54,11.54,0,0,0,0
aclnnAdd,,,12.14,12.14,4.016,4.016,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.24,14.29,0,0,0,0
empty_tensor,,,7.05,7.05,0,0,0,0
triton_kernel_add,,,16.77,16.77,1.776,1.776,0,0
aten::add,"1024;
1024;
",,24.91,50.89,0,4.256,0,0
empty_tensor,,,11.14,11.14,0,0,0,0
aclnnAdd,,,14.84,14.84,4.256,4.256,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.37,14.68,0,0,0,0
empty_tensor,,,7.31,7.31,0,0,0,0
triton_kernel_add,,,16.81,16.81,1.84,1.84,0,0
aten::add,"1024;
1024;
",,23.86,48.05,0,4.296,0,0
empty_tensor,,,11.29,11.29,0,0,0,0
aclnnAdd,,,12.9,12.9,4.296,4.296,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.15,14.22,0,0,0,0
empty_tensor,,,7.07,7.07,0,0,0,0
triton_kernel_add,,,17.2,17.2,1.8,1.8,0,0
aten::add,"1024;
1024;
",,23.51,47.16,0,4.36,0,0
empty_tensor,,,11.12,11.12,0,0,0,0
aclnnAdd,,,12.53,12.53,4.36,4.36,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.97,14.96,0,0,0,0
empty_tensor,,,7.99,7.99,0,0,0,0
triton_kernel_add,,,16.94,16.94,1.824,1.824,0,0
aten::add,"1024;
1024;
",,23.55,47.06,0,1.656,0,0
empty_tensor,,,12.01,12.01,0,0,0,0
aclnnAdd,,,11.5,11.5,1.656,1.656,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.51,15.02,0,0,0,0
empty_tensor,,,7.51,7.51,0,0,0,0
triton_kernel_add,,,16.7,16.7,1.464,1.464,0,0
aten::add,"1024;
1024;
",,24.07,54.98,0,2.416,0,0
empty_tensor,,,10.84,10.84,0,0,0,0
aclnnAdd,,,20.07,20.07,2.416,2.416,0,0
aten::empty_like,"1024;
;
;
;
;
",,8.03,16.46,0,0,0,0
empty_tensor,,,8.43,8.43,0,0,0,0
triton_kernel_add,,,15.56,15.56,1.84,1.84,0,0
aten::add,"1024;
1024;
",,24.82,48.38,0,1.744,0,0
empty_tensor,,,11.46,11.46,0,0,0,0
aclnnAdd,,,12.1,12.1,1.744,1.744,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.11,14.79,0,0,0,0
empty_tensor,,,7.68,7.68,0,0,0,0
triton_kernel_add,,,16.86,16.86,1.52,1.52,0,0
aten::add,"1024;
1024;
",,23.3,46.45,0,1.664,0,0
empty_tensor,,,10.77,10.77,0,0,0,0
aclnnAdd,,,12.38,12.38,1.664,1.664,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.51,15.49,0,0,0,0
empty_tensor,,,7.98,7.98,0,0,0,0
triton_kernel_add,,,21.34,21.34,1.48,1.48,0,0
aten::add,"1024;
1024;
",,23.02,45.29,0,1.616,0,0
empty_tensor,,,10.97,10.97,0,0,0,0
aclnnAdd,,,11.3,11.3,1.616,1.616,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.4,13.02,0,0,0,0
empty_tensor,,,6.62,6.62,0,0,0,0
triton_kernel_add,,,21.29,21.29,1.6,1.6,0,0
aten::add,"1024;
1024;
",,23.92,45.51,0,1.664,0,0
empty_tensor,,,10.55,10.55,0,0,0,0
aclnnAdd,,,11.04,11.04,1.664,1.664,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.5,13.04,0,0,0,0
empty_tensor,,,6.54,6.54,0,0,0,0
triton_kernel_add,,,14.7,14.7,1.48,1.48,0,0
aten::add,"1024;
1024;
",,23.16,45.57,0,1.824,0,0
empty_tensor,,,10.99,10.99,0,0,0,0
aclnnAdd,,,11.42,11.42,1.824,1.824,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.45,18.74,0,0,0,0
empty_tensor,,,12.29,12.29,0,0,0,0
triton_kernel_add,,,15.79,15.79,1.456,1.456,0,0
aten::add,"1024;
1024;
",,23.37,45.78,0,1.72,0,0
empty_tensor,,,10.8,10.8,0,0,0,0
aclnnAdd,,,11.61,11.61,1.72,1.72,0,0
aten::empty_like,"1024;
;
;
;
;
",,10.3,16.66,0,0,0,0
empty_tensor,,,6.36,6.36,0,0,0,0
triton_kernel_add,,,16.78,16.78,1.544,1.544,0,0
aten::add,"1024;
1024;
",,23.04,51.05,0,1.696,0,0
empty_tensor,,,10.51,10.51,0,0,0,0
aclnnAdd,,,17.5,17.5,1.696,1.696,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.5,13.55,0,0,0,0
empty_tensor,,,7.05,7.05,0,0,0,0
triton_kernel_add,,,14.75,14.75,1.544,1.544,0,0
aten::add,"1024;
1024;
",,22.72,52.06,0,1.656,0,0
empty_tensor,,,10.57,10.57,0,0,0,0
aclnnAdd,,,18.77,18.77,1.656,1.656,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.46,13.79,0,0,0,0
empty_tensor,,,7.33,7.33,0,0,0,0
triton_kernel_add,,,14.63,14.63,1.424,1.424,0,0
aten::add,"1024;
1024;
",,28.71,49.49,0,1.664,0,0
empty_tensor,,,10.21,10.21,0,0,0,0
aclnnAdd,,,10.57,10.57,1.664,1.664,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.22,13.43,0,0,0,0
empty_tensor,,,7.21,7.21,0,0,0,0
triton_kernel_add,,,14.79,14.79,1.44,1.44,0,0
aten::add,"1024;
1024;
",,22.84,44.31,0,1.624,0,0
empty_tensor,,,10.13,10.13,0,0,0,0
aclnnAdd,,,11.34,11.34,1.624,1.624,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.44,13.14,0,0,0,0
empty_tensor,,,6.7,6.7,0,0,0,0
