Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,"1024;
1024;
",,71.19,99.26,0,4.16,0,0
empty_tensor,,,14.45,14.45,0,0,0,0
aclnnAdd,,,13.62,13.62,4.16,4.16,0,0
aten::empty_like,"1024;
;
;
;
;
",,22.5,31.61,0,0,0,0
empty_tensor,,,9.11,9.11,0,0,0,0
triton_kernel_add,,,19.01,19.01,1.92,1.92,0,0
aten::add,"1024;
1024;
",,29.24,54.08,0,4.38,0,0
empty_tensor,,,12.32,12.32,0,0,0,0
aclnnAdd,,,12.52,12.52,4.38,4.38,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.66,13.81,0,0,0,0
empty_tensor,,,6.15,6.15,0,0,0,0
triton_kernel_add,,,17.26,17.26,1.82,1.82,0,0
aten::add,"1024;
1024;
",,25.95,50.41,0,4.34,0,0
empty_tensor,,,11.78,11.78,0,0,0,0
aclnnAdd,,,12.68,12.68,4.34,4.34,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.45,13.51,0,0,0,0
empty_tensor,,,6.06,6.06,0,0,0,0
triton_kernel_add,,,17.34,17.34,1.84,1.84,0,0
aten::add,"1024;
1024;
",,25.9,49.55,0,4.3,0,0
empty_tensor,,,11.28,11.28,0,0,0,0
aclnnAdd,,,12.37,12.37,4.3,4.3,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.09,13.19,0,0,0,0
empty_tensor,,,6.1,6.1,0,0,0,0
triton_kernel_add,,,17.62,17.62,1.86,1.86,0,0
aten::add,"1024;
1024;
",,27.19,50.56,0,4.22,0,0
empty_tensor,,,11.36,11.36,0,0,0,0
aclnnAdd,,,12.01,12.01,4.22,4.22,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.38,14.91,0,0,0,0
empty_tensor,,,7.53,7.53,0,0,0,0
triton_kernel_add,,,17.16,17.16,1.86,1.86,0,0
aten::add,"1024;
1024;
",,25.74,49.4,0,1.74,0,0
empty_tensor,,,10.86,10.86,0,0,0,0
aclnnAdd,,,12.8,12.8,1.74,1.74,0,0
