Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,"1024;
1024;
",,33.16,59.52,0,2.28,0,0
empty_tensor,,,13.11,13.11,0,0,0,0
aclnnAdd,,,13.25,13.25,2.28,2.28,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.58,13.62,0,0,0,0
empty_tensor,,,6.04,6.04,0,0,0,0
triton_kernel_add,,,27.3,27.3,21.4,21.4,0,0
aten::add,"1024;
1024;
",,24.91,48.24,0,2.58,0,0
empty_tensor,,,9.94,9.94,0,0,0,0
aclnnAdd,,,13.39,13.39,2.58,2.58,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.26,13.29,0,0,0,0
empty_tensor,,,6.03,6.03,0,0,0,0
triton_kernel_add,,,16.5,16.5,21.62,21.62,0,0
aten::add,"1024;
1024;
",,25.74,51.05,0,2.52,0,0
empty_tensor,,,12.21,12.21,0,0,0,0
aclnnAdd,,,13.1,13.1,2.52,2.52,0,0
aten::empty_like,"1024;
;
;
;
;
",,12.65,20.11,0,0,0,0
empty_tensor,,,7.46,7.46,0,0,0,0
triton_kernel_add,,,16.89,16.89,21.44,21.44,0,0
aten::add,"1024;
1024;
",,24.65,48.0,0,2.44,0,0
empty_tensor,,,10.24,10.24,0,0,0,0
aclnnAdd,,,13.11,13.11,2.44,2.44,0,0
aten::empty_like,"1024;
;
;
;
;
",,10.43,17.27,0,0,0,0
empty_tensor,,,6.84,6.84,0,0,0,0
triton_kernel_add,,,17.12,17.12,21.56,21.56,0,0
aten::add,"1024;
1024;
",,25.06,47.54,0,2.54,0,0
empty_tensor,,,11.05,11.05,0,0,0,0
aclnnAdd,,,11.43,11.43,2.54,2.54,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.58,15.04,0,0,0,0
empty_tensor,,,7.46,7.46,0,0,0,0
triton_kernel_add,,,21.94,21.94,21.34,21.34,0,0
aten::add,"1024;
1024;
",,25.46,50.45,0,2.46,0,0
empty_tensor,,,11.13,11.13,0,0,0,0
aclnnAdd,,,13.86,13.86,2.46,2.46,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.42,13.82,0,0,0,0
empty_tensor,,,6.4,6.4,0,0,0,0
triton_kernel_add,,,17.23,17.23,21.54,21.54,0,0
aten::add,"1024;
1024;
",,25.91,47.63,0,2.7,0,0
empty_tensor,,,10.66,10.66,0,0,0,0
aclnnAdd,,,11.06,11.06,2.7,2.7,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.85,13.88,0,0,0,0
empty_tensor,,,7.03,7.03,0,0,0,0
triton_kernel_add,,,16.99,16.99,21.4,21.4,0,0
aten::add,"1024;
1024;
",,23.83,47.33,0,2.52,0,0
