Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,"1024;
1024;
",,67.0,93.45,0,2.64,0,0
empty_tensor,,,13.47,13.47,0,0,0,0
aclnnAdd,,,12.98,12.98,2.64,2.64,0,0
aten::empty_like,"1024;
;
;
;
;
",,10.31,45.36,0,0,0,0
empty_tensor,,,35.05,35.05,0,0,0,0
triton_kernel_add,,,17.08,17.08,3.32,3.32,0,0
aten::add,"1024;
1024;
",,24.43,46.72,0,2.68,0,0
empty_tensor,,,11.28,11.28,0,0,0,0
aclnnAdd,,,11.01,11.01,2.68,2.68,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.53,12.58,0,0,0,0
empty_tensor,,,6.05,6.05,0,0,0,0
triton_kernel_add,,,16.47,16.47,3.32,3.32,0,0
aten::add,"1024;
1024;
",,23.47,45.47,0,2.64,0,0
empty_tensor,,,10.39,10.39,0,0,0,0
aclnnAdd,,,11.61,11.61,2.64,2.64,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.67,13.09,0,0,0,0
empty_tensor,,,6.42,6.42,0,0,0,0
triton_kernel_add,,,16.17,16.17,3.3,3.3,0,0
aten::add,"1024;
1024;
",,23.73,47.11,0,2.72,0,0
empty_tensor,,,10.71,10.71,0,0,0,0
aclnnAdd,,,12.67,12.67,2.72,2.72,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.33,12.07,0,0,0,0
empty_tensor,,,5.74,5.74,0,0,0,0
triton_kernel_add,,,15.62,15.62,3.32,3.32,0,0
aten::add,"1024;
1024;
",,23.72,45.7,0,2.72,0,0
empty_tensor,,,10.13,10.13,0,0,0,0
aclnnAdd,,,11.85,11.85,2.72,2.72,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.2,12.74,0,0,0,0
empty_tensor,,,6.54,6.54,0,0,0,0
triton_kernel_add,,,15.26,15.26,2.22,2.22,0,0
aten::add,"1024;
1024;
",,23.73,45.08,0,1.66,0,0
empty_tensor,,,10.59,10.59,0,0,0,0
aclnnAdd,,,10.76,10.76,1.66,1.66,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.25,11.91,0,0,0,0
empty_tensor,,,5.66,5.66,0,0,0,0
triton_kernel_add,,,16.53,16.53,1.48,1.48,0,0
aten::add,"1024;
1024;
",,24.39,47.87,0,2.48,0,0
empty_tensor,,,10.81,10.81,0,0,0,0
aclnnAdd,,,12.67,12.67,2.48,2.48,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.59,12.85,0,0,0,0
empty_tensor,,,6.26,6.26,0,0,0,0
triton_kernel_add,,,16.02,16.02,2.0,2.0,0,0
aten::add,"1024;
1024;
",,24.32,46.09,0,1.72,0,0
empty_tensor,,,10.33,10.33,0,0,0,0
aclnnAdd,,,11.44,11.44,1.72,1.72,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.77,13.52,0,0,0,0
empty_tensor,,,6.75,6.75,0,0,0,0
triton_kernel_add,,,15.3,15.3,1.48,1.48,0,0
aten::add,"1024;
1024;
",,23.11,45.37,0,1.74,0,0
empty_tensor,,,10.57,10.57,0,0,0,0
aclnnAdd,,,11.69,11.69,1.74,1.74,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.69,12.98,0,0,0,0
empty_tensor,,,6.29,6.29,0,0,0,0
triton_kernel_add,,,23.75,23.75,1.56,1.56,0,0
aten::add,"1024;
1024;
",,24.2,45.9,0,1.72,0,0
empty_tensor,,,10.47,10.47,0,0,0,0
aclnnAdd,,,11.23,11.23,1.72,1.72,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.35,12.76,0,0,0,0
empty_tensor,,,6.41,6.41,0,0,0,0
triton_kernel_add,,,21.93,21.93,1.54,1.54,0,0
aten::add,"1024;
1024;
",,23.78,45.2,0,1.76,0,0
empty_tensor,,,10.59,10.59,0,0,0,0
aclnnAdd,,,10.83,10.83,1.76,1.76,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.31,12.62,0,0,0,0
empty_tensor,,,6.31,6.31,0,0,0,0
triton_kernel_add,,,15.16,15.16,1.4,1.4,0,0
aten::add,"1024;
1024;
",,24.54,47.43,0,1.78,0,0
empty_tensor,,,11.17,11.17,0,0,0,0
aclnnAdd,,,11.72,11.72,1.78,1.78,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.03,19.3,0,0,0,0
empty_tensor,,,13.27,13.27,0,0,0,0
triton_kernel_add,,,15.6,15.6,1.42,1.42,0,0
aten::add,"1024;
1024;
",,23.62,45.38,0,1.66,0,0
empty_tensor,,,10.17,10.17,0,0,0,0
aclnnAdd,,,11.59,11.59,1.66,1.66,0,0
aten::empty_like,"1024;
;
;
;
;
",,13.61,20.06,0,0,0,0
empty_tensor,,,6.45,6.45,0,0,0,0
triton_kernel_add,,,15.3,15.3,1.4,1.4,0,0
aten::add,"1024;
1024;
",,24.2,51.43,0,1.7,0,0
empty_tensor,,,10.55,10.55,0,0,0,0
aclnnAdd,,,16.68,16.68,1.7,1.7,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.01,13.52,0,0,0,0
empty_tensor,,,6.51,6.51,0,0,0,0
triton_kernel_add,,,15.56,15.56,1.46,1.46,0,0
aten::add,"1024;
1024;
",,23.75,52.58,0,1.7,0,0
empty_tensor,,,10.42,10.42,0,0,0,0
aclnnAdd,,,18.41,18.41,1.7,1.7,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.99,13.7,0,0,0,0
empty_tensor,,,6.71,6.71,0,0,0,0
triton_kernel_add,,,15.71,15.71,1.44,1.44,0,0
aten::add,"1024;
1024;
",,31.53,52.68,0,1.72,0,0
empty_tensor,,,10.56,10.56,0,0,0,0
aclnnAdd,,,10.59,10.59,1.72,1.72,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.71,13.19,0,0,0,0
empty_tensor,,,6.48,6.48,0,0,0,0
triton_kernel_add,,,15.43,15.43,1.5,1.5,0,0
aten::add,"1024;
1024;
",,23.41,44.93,0,1.7,0,0
empty_tensor,,,9.85,9.85,0,0,0,0
aclnnAdd,,,11.67,11.67,1.7,1.7,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.41,12.19,0,0,0,0
empty_tensor,,,5.78,5.78,0,0,0,0
triton_kernel_add,,,22.55,22.55,1.56,1.56,0,0
aten::add,"1024;
1024;
",,23.35,45.1,0,1.66,0,0
empty_tensor,,,9.92,9.92,0,0,0,0
aclnnAdd,,,11.83,11.83,1.66,1.66,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.27,12.4,0,0,0,0
empty_tensor,,,6.13,6.13,0,0,0,0
triton_kernel_add,,,23.91,23.91,1.4,1.4,0,0
aten::add,"1024;
1024;
",,23.76,45.8,0,1.62,0,0
empty_tensor,,,10.5,10.5,0,0,0,0
aclnnAdd,,,11.54,11.54,1.62,1.62,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.39,12.49,0,0,0,0
empty_tensor,,,6.1,6.1,0,0,0,0
triton_kernel_add,,,15.27,15.27,1.48,1.48,0,0
aten::add,"1024;
1024;
",,23.29,44.65,0,1.72,0,0
empty_tensor,,,10.16,10.16,0,0,0,0
aclnnAdd,,,11.2,11.2,1.72,1.72,0,0
